Time (s),X,Y,Lateral Error (m),Error (%)
0.0,-1.0884520916353868,-0.5101081063073786,0.09223782286272782,15.372970477121303
0.06957697868347168,-1.087660949487684,-0.5098209737126875,0.09298058138970672,15.496763564951122
0.07384252548217773,-1.0876190194697526,-0.5098288294760877,0.09300280007810892,15.500466679684822
0.07754278182983398,-1.0877155310660882,-0.5097479759152408,0.09299830712049699,15.499717853416165
0.08149552345275879,-1.0876973156619345,-0.5096357509018803,0.09309389504289137,15.51564917381523
0.08916211128234863,-1.087828098794508,-0.5095806660064423,0.09304732010109729,15.507886683516215
0.0926215648651123,-1.0879552477191647,-0.5095336351177644,0.09299719162560287,15.499531937600478
0.0951535701751709,-1.0880836811987944,-0.5095350897200619,0.09291017187333102,15.485028645555172
0.09857869148254395,-1.0883292066301204,-0.5094981890131527,0.09277330586198584,15.462217643664308
0.10522747039794922,-1.088499498711108,-0.5093316867235573,0.09278309353352193,15.463848922253657
0.11295938491821289,-1.0885414287443669,-0.5092741009991971,0.09279783139802016,15.46630523300336
0.12115883827209473,-1.0884615828235495,-0.5092431998474929,0.09287422277842329,15.479037129737216
0.13510465621948242,-1.088559750681595,-0.5090649452379491,0.09294100465074448,15.490167441790748
0.13902664184570312,-1.088457039036083,-0.509100441589502,0.09298335322640607,15.497225537734344
0.1524810791015625,-1.0879151478064244,-0.5095634775890475,0.09300184642641608,15.500307737736014
0.16146349906921387,-1.0874063296826355,-0.5097581297672128,0.09319765744714188,15.532942907856981
0.17046594619750977,-1.0865155010218976,-0.5101167557299081,0.09352722714060441,15.587871190100735
0.18368911743164062,-1.0850097489505548,-0.5103449491003433,0.09436519121468087,15.727531869113479
0.19332146644592285,-1.0838297576907556,-0.5107092152228204,0.09488405699783305,15.814009499638843
0.2107257843017578,-1.081566436199209,-0.5115891674512129,0.09574458273465951,15.957430455776587
0.21325302124023438,-1.081180353026761,-0.5117213505760717,0.0959046915966903,15.984115266115051
0.22352957725524902,-1.0797062262898462,-0.5125559464682373,0.09627084929538432,16.04514154923072
0.23213458061218262,-1.0783672725841078,-0.5130785438788408,0.09677841863889362,16.129736439815602
0.24123430252075195,-1.0767649552120995,-0.5137682589451581,0.09733802005101734,16.223003341836222
0.2535834312438965,-1.0555994992188855,-0.9638149632684796,0.2229494050874125,37.15823418123542
0.26683640480041504,-1.0596427603143215,-0.9715568373948316,0.23140820853236446,38.56803475539407
0.2709658145904541,-1.0598400332319233,-0.9728624559624056,0.2325104735618775,38.751745593646255
0.28127551078796387,-1.0587323428812911,-0.9748006971127201,0.23320967792728473,38.86827965454746
0.2900979518890381,-1.057598738305811,-0.9765165629946301,0.23372628526167702,38.95438087694617
0.3006150722503662,-1.0560213318330094,-0.9787616710616427,0.23433923475469734,39.05653912578289
0.3068249225616455,-1.0551137067263159,-0.9802350962743142,0.23482688333922905,39.13781388987151
0.31621265411376953,-1.0535304358303101,-0.9824517060363676,0.2354147303993316,39.235788399888605
0.33040452003479004,-1.0508956917615544,-0.985398962166836,0.23584198064571446,39.30699677428574
0.3411366939544678,-1.0490607483231775,-0.9875366748224597,0.2362027939285476,39.367132321424606
0.3529326915740967,-1.047358551398375,-0.9903241162612861,0.23713527454969532,39.522545758282554
0.3601865768432617,-1.0458059271786189,-0.9920825365108579,0.23740312707357003,39.56718784559501
0.3663451671600342,-1.0444821043330286,-0.993513109276178,0.23758043943819812,39.59673990636636
0.37823915481567383,-1.0419689715210725,-0.9962230456962609,0.23791270058383754,39.65211676397292
0.38977670669555664,-1.0394674315284331,-0.9988256658919608,0.23817296734284596,39.69549455714099
0.4018137454986572,-1.0369255638119077,-1.0015743813133064,0.2385148194984863,39.752469916414384
0.40627622604370117,-1.0360041358480645,-1.0026229251410737,0.2386774837662153,39.77958062770256
0.4196600914001465,-1.032871101431393,-1.0055953671454398,0.238790029441821,39.79833824030351
0.4312703609466553,-1.0302619554713586,-1.0083370275738064,0.23908162078406128,39.846936797343545
0.43889665603637695,-1.0284743304689612,-1.010357498377269,0.23938696860488623,39.89782810081437
0.4481656551361084,-1.026327829618257,-1.0126610325879928,0.2396625387181142,39.94375645301903
0.4629209041595459,-1.0226684667424029,-1.0163843097573682,0.2399808811803463,39.996813530057715
0.474071741104126,-1.0197886808765375,-1.0190799709248897,0.24005719496562014,40.009532494270026
0.4879307746887207,-1.016346803634553,-1.022105623680725,0.24000262774886885,40.00043795814481
0.4935464859008789,-1.0150987370597555,-1.0233763582324806,0.2401118480115908,40.01864133526514
0.5935440063476562,-1.0030478602523771,-1.0315413768724724,0.2381160288585501,39.68600480975835
0.6031901836395264,-1.001049973871143,-1.0340881071465742,0.23867177135792417,39.77862855965403
0.6101901531219482,-0.9992763493314285,-1.0357817178538344,0.2387435829276857,39.79059715461428
0.6223580837249756,-0.9961490495734249,-1.0383548615118852,0.2385632293390393,39.76053822317322
0.6883938312530518,-0.9794169588894153,-1.0528025803233836,0.23810402282871074,39.68400380478512
0.7257428169250488,-0.9693429243902202,-1.0604223639591086,0.23702578079593306,39.504296799322184
0.7384223937988281,-0.9662004608937549,-1.0633600593671364,0.2371061954323848,39.5176992387308
